Researcher,Affiliation,Companies
"Kulabhusan, Prabir Kumar","Institute for Global Food Security, School of Biological Sciences, Queen’s University Belfast, 19 Chlorine Gardens, Belfast BT9 5DL, U.K.; Kavli Institute for NanoScience Discovery, Department of Physics, New Biochemistry Building, University of Oxford, Dorothy Hodgkin Rd, Oxford OX13QU, U.K.",['Not Found [Unknown]']
"Kulbatzki, Michelle","Environmental Microbiology and Biotechnology, Aquatic Microbiology, University of Duisburg—Essen, 45141 Essen, Germany","['Deutsche Forschungsgemeinschaft [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'H2020 European Research Council [Unknown]']"
"Kuligowski, David R.","Conservation Biology Division, Northwest Fisheries Science Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration, 2725 Montlake Blvd. E., Seattle, Washington 98112, United States",['National Oceanic and Atmospheric Administration [Unknown]']
"Kulikova, Natalia A.","Department of Soil Science, Lomonosov Moscow State University, Moscow, 119991, Russia; Federal Research Center “Fundamentals of Biotechnology”, Bakh Institute of Biochemistry, Russian Academy of Sciences, Moscow, 119071, Russia",['Russian Science Foundation [Foundation]']
"Kulka, Ryan","Air Health Science Division, Health Canada, 269 Laurier Avenue West, Ottawa, Ontario K1A 0K0, Canada","['Health Canada [Unknown]', 'University of Toronto [University]', 'Government of Canada [Government]']"
"Kulka, Ryan","Water and Air Quality Bureau, Health Canada, Ottawa K1A 0K9, Canada",['Health Canada [Unknown]']
"Kulkarni, Harshad V.","Department of Earth and Planetary Sciences, The University of Texas at San Antonio, San Antonio, Texas 78249, United States; School of Civil & Environmental Engineering, Indian Institute of Technology Mandi, Himachal Pradesh 175075, India",['Division of Earth Sciences [Unknown]']
"Kulkarni, Poonam R.","GSI Environmental Inc., 2211 Norfolk Suite 1000, Houston, Texas 77098, United States","['U.S. Department of Defense [Government]', 'U.S. Navy [Unknown]', 'U.S. Department of Defense [Government]', 'Strategic Environmental Research and Development Program [Unknown]', 'U.S. Navy Environmental Sustainability Development to Integration Program [Unknown]', 'Environmental Security Technology Certification Program [Unknown]']"
"Kulkarni, Prachi","Maryland Institute for Applied Environmental Health, University of Maryland School of Public Health, College Park, Maryland 20740, United States","['National Institute of Food and Agriculture [University]', 'National Science Foundation [Foundation]']"
"Kulkarni, Santosh H.","Centre for Development of Advanced Computing (C−DAC), Pune 411007, Maharashtra, India",['Not Found [Unknown]']
"Kulkarni, Yamini","School of Civil and Environmental Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332, United States","['Georgia Power [Unknown]', 'Environmental Research and Education Foundation [Foundation]', 'National Science Foundation [Foundation]']"
"Kullman, Seth W.","Toxicology Program, North Carolina State University, Raleigh, North Carolina 27695, United States","['National Institute of Environmental Health Sciences [University]', 'Duke Cancer Institute [Unknown]']"
"Kulmala, Markku","Aerosol and Haze Laboratory, Beijing Advanced Innovation Center for Soft Matter Science and Engineering, Beijing University of Chemical Technology, Beijing 100089, China; Institute for Atmospheric and Earth System Research/Physics, Faculty of Science, University of Helsinki, Helsinki 00560, Finland; Joint International Research Laboratory of Atmospheric and Earth System Sciences (JirLATEST), Nanjing University, Nanjing 210023, China","['Suomen Akatemia [Unknown]', 'H2020 European Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Samsung PM2.5 SRP [Unknown]', 'Division of Chemistry [Unknown]', 'Beijing University of Chemical Technology [University]', 'Academy of Finland [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'Academy of Finland [Unknown]', 'Jane ja Aatos Erkon S??ti? [Unknown]', 'China Scholarship Council [Unknown]', 'H2020 European Research Council [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Beijing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Samsung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Jenny ja Antti Wihurin Rahasto [Unknown]', 'Teknologiateollisuuden 100-Vuotisjuhlas??ti? [Unknown]', 'Atmosphere and Climate Competence Center [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kulmala, Markku","Institute for Atmospheric and Earth System Research/Physics, Faculty of Science, University of Helsinki, 00014 Helsinki, Finland; Helsinki Institute of Physics, University of Helsinki, 00014 Helsinki, Finland; Joint International Research Laboratory of Atmospheric and Earth System Sciences, School of Atmospheric Sciences, Nanjing University, 210023 Nanjing, China; Aerosol and Haze Laboratory, Beijing Advanced Innovation Center for Soft Matter Science and Engineering, Beijing University of Chemical Technology, 100029 Beijing, China","['Samsung [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Suomen Akatemia [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', 'Bundesministerium f?r Bildung und Forschung [Unknown]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'National Institute on Aging [Government]', 'H2020 European Research Council [Unknown]', 'Russian Academy of Sciences [Unknown]', 'Helsingin Yliopisto [Unknown]', 'Wallace Research Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'U.S. Department of Health and Human Services [Government]', 'Samsung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Samsung [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Academy of Finland [Unknown]', 'Jane ja Aatos Erkon S??ti? [Unknown]', 'U.S. Department of Energy [Government]', 'National Natural Science Foundation of China [Foundation]', 'European Research Council [Unknown]', 'Svenska Forskningsr?det Formas [Unknown]', 'Vetenskapsr?det [Unknown]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'Universit?t Innsbruck [University]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Academy of Finland [Unknown]', 'H2020 European Research Council [Unknown]', 'Funda??o para a Ci?ncia e a Tecnologia [Unknown]', 'Bundesministerium f?r Bildung und Forschung [Unknown]', 'FP7 People: Marie-Curie Actions [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Academy of Finland [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', 'Jenny and Antti Wihuri Foundation [Foundation]', 'Key International (Regional) Joint Research Program [Unknown]', 'Samsung [Unknown]', 'U.S. Department of Energy [Government]', 'National Natural Science Foundation of China [Foundation]', 'Schweizerischer Nationalfonds zur F??rderung der Wissenschaftlichen Forschung [Unknown]', 'Research Grants Council, University Grants Committee [University]', 'National Key Research and Development Program of China [Unknown]']"
"Kulmala, Markku","Joint International Research Laboratory of Atmospheric and Earth System Research (JirLATEST), School of Atmospheric Sciences, Nanjing University, Nanjing210093, China; Aerosol and Haze Laboratory, Beijing Advanced Innovation Center for Soft Matter Science and Engineering, Beijing University of Chemical Technology, Beijing100029, China; Institute for Atmospheric and Earth System Research/Physics, Faculty of Science, University of Helsinki, Helsinki00014, Finland","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Government of Jiangsu Province [Government]', 'Academy of Finland [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', 'Samsung [Unknown]', 'Academy of Finland [Unknown]', 'Jane ja Aatos Erkon S??ti? [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]']"
"Kulp, Daniel T.",,"['Not Found [Unknown]', 'Not Found [Unknown]']"
"Kulp, Scott","Climate Central, Princeton, New Jersey 08542, United States","['University of California Berkeley [University]', 'Central University Basic Research Fund of China [University]', 'U.S. Environmental Protection Agency [Government]', 'Kresge Foundation [Foundation]', 'JPB Foundation [Foundation]', 'Yuxiu Young Scholars Program [Unknown]']"
"Kulp, Thomas R.","Department of Geological Sciences and Environmental Studies, Binghamton University, SUNY, Binghamton, New York 13902, United States","['U.S. Geological Survey [Unknown]', 'Geological Society of America [Unknown]', 'U.S. Department of Agriculture [Government]', 'National Association of Geoscience Teachers [Unknown]']"
"Kumada, Takayuki","Hierarchical Structure Research Group, Materials Sciences Research Center, Japan Atomic Energy Agency, 2-4 Shirakata, Tokai-mura, Naka-gun, Ibaraki 319-1195, Japan",['Japan Society for the Promotion of Science [Unknown]']
"Kumagai, Shogo","Graduate School of Environmental Studies, Tohoku University, 6-6-07 Aoba, Aramaki-aza, Aoba-ku, Sendai, Miyagi 980-8579, Japan","['Japan Society for the Promotion of Science [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Kumar Veeranmaril, Sudheesh","Physical Sciences and Engineering Division (PSE), KAUST Catalysis Center (KCC), Catalysis Nanomaterials and Spectroscopy (CNS), King Abdullah University of Science and Technology (KAUST), Thuwal 23955, Saudi Arabia",['King Abdullah University of Science and Technology [University]']
"Kumar, Aarti","Energy Biosciences Institute, 2151 Berkeley Way, California 94704, United States",['Energy Biosciences Institute [Unknown]']
"Kumar, Alok","Centre for Atmospheric Sciences, Indian Institute of Technology Delhi, Delhi 110016, India","['Department of Science and Technology, Ministry of Science and Technology [Government]', 'Indian Institute of Technology Delhi [University]', 'Clean Air Fund [Unknown]', 'Central Pollution Control Board, Ministry of Environment, Forest, and Climate Change [Government]', 'Department of Science and Technology, Ministry of Science and Technology, India [Government]', 'Indian Institute of Technology Delhi [University]', 'University Grants Committee [University]']"
"Kumar, Amit","Radiation Biology & Health Sciences Division, Bhabha Atomic Research Centre, Trombay, Mumbai 400 085, India; Homi Bhabha National Institute, Anushaktinagar, Mumbai 400 094, India",['Bhabha Atomic Research Centre [Unknown]']
"Kumar, Arkadeep","Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, California 94720, United States","['Tobacco-Related Disease Research Program [Unknown]', 'U.S. Department of Energy [Government]', 'National Science Foundation [Foundation]', 'Andrew and Virginia Rudd Family Foundation [Foundation]']"
"Kumar, Arun","Department of Civil Engineering, Indian Institute of Technology Delhi, New Delhi 110016, India",['Not Found [Unknown]']
"Kumar, Kiruthika","Virology and Structural Immunology Laboratory, School of Life Sciences, École Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","['?cole Polytechnique F?d?rale de Lausanne [Unknown]', 'amfAR, The Foundation for AIDS Research [Foundation]', 'Japan Society for the Promotion of Science [Unknown]']"
"Kumar, Kruthika","School of Environmental, Civil, Agricultural and Mechanical Engineering; University of Georgia","['Division of Earth Sciences [Unknown]', 'University at Albany [University]', 'Natural Environment Research Council [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'U.S. Department of Energy [Government]', 'Horizon 2020 Framework Programme [Unknown]']"
"Kumar, Manish",,"['Division of Graduate Education [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
"Kumar, Manish","Discipline of Earth Science, Indian Institute of Technology, Gandhinagar, Gujarat 382 355, India","['UK-India Education and Research Initiative [Unknown]', 'National Science Foundation [Foundation]']"
"Kumar, Manish","Laboratory of Host−Pathogen Dynamics, National Heart Lung and Blood Institute, National Institutes of Health, Bethesda, Maryland 20892, United States","['George Washington University [University]', 'National Heart, Lung, and Blood Institute [Unknown]', 'National Institute of Allergy and Infectious Diseases [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
